,Unnamed: 0,Unnamed: 0.1,iso_code,continent,location,date,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
43,45,45,CIV,Africa,Cote d'Ivoire,2020-03-11,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
44,46,46,HRV,Europe,Croatia,2020-02-25,4105268.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851
45,47,47,CUB,North America,Cuba,2020-03-12,11326616.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783
46,48,48,CUW,North America,Curacao,2021-04-18,164100.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,
47,49,49,CYP,Europe,Cyprus,2020-02-02,875899.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887
48,50,50,CZE,Europe,Czechia,2020-03-01,10708982.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9
49,51,51,COD,Africa,Democratic Republic of Congo,2020-03-11,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48
50,52,52,DNK,Europe,Denmark,2020-02-02,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94
51,53,53,DJI,Africa,Djibouti,2020-03-18,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524
52,54,54,DMA,North America,Dominica,2020-03-22,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742
53,55,55,DOM,North America,Dominican Republic,2020-03-01,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
54,56,56,ECU,South America,Ecuador,2020-03-01,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759
55,57,57,EGY,Africa,Egypt,2020-02-14,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
56,58,58,SLV,North America,El Salvador,2020-03-19,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
57,59,59,GNQ,Africa,Equatorial Guinea,2020-03-15,1402985.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592
58,60,60,ERI,Africa,Eritrea,2020-03-21,3546427.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459
59,61,61,EST,Europe,Estonia,2020-02-12,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
60,62,62,SWZ,Africa,Eswatini,2020-03-14,1160164.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
61,63,63,ETH,Africa,Ethiopia,2020-03-13,114963583.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
62,66,66,FRO,Europe,Faeroe Islands,2021-01-29,48865.0,35.308,,,,,,,,,,,,80.67,
63,67,67,FLK,South America,Falkland Islands,2021-02-07,3483.0,,,,,,,,,,,,,81.44,
64,68,68,FJI,Oceania,Fiji,2020-01-30,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
65,69,69,FIN,Europe,Finland,2020-01-29,5540718.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
66,70,70,FRA,Europe,France,2020-01-24,68147687.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
67,71,71,GAB,Africa,Gabon,2020-03-14,2225728.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703
68,72,72,GMB,Africa,Gambia,2020-03-17,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
69,73,73,GEO,Asia,Georgia,2020-02-26,3989175.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812
70,74,74,DEU,Europe,Germany,2020-01-27,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
71,75,75,GHA,Africa,Ghana,2020-03-14,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
72,76,76,GIB,Europe,Gibraltar,2021-01-10,33691.0,3457.1,,,,,,,,,,,,79.93,
73,77,77,GRC,Europe,Greece,2020-02-26,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888
74,78,78,GRL,North America,Greenland,2021-01-27,56772.0,0.137,,,,,,199.941,2.16,,,,,71.7,
75,79,79,GRD,North America,Grenada,2020-03-22,112519.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779
76,80,80,GTM,North America,Guatemala,2020-02-17,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
